feature,importance
num_submissions,0.4929518
late_clicks,0.12126103
avg_score,0.07136608
max_score,0.06425988
num_active_days,0.05998017
early_clicks,0.030082494
unique_activities,0.021508731
gender,0.020598391
total_clicks,0.01959066
num_of_prev_attempts,0.018805938
highest_education,0.017063802
studied_credits,0.014436158
avg_daily_clicks,0.01397578
region,0.009681867
imd_band,0.009487391
disability,0.007507929
age_band,0.0074418806
